title	summary	Scale	Context (tokens)	License	Date	Decoder type	Attention	Layer mix	KV cache / token (bf16) info	Key detail	View in article	config.json	Tech report	AA Intelligence Index info	From scratch	Vocabulary	params.json	adapter_config.json
GLM-5.2 (744B)	Long-context GLM refresh that keeps the 744B sparse MoE backbone and adds IndexShare for 1M-token DSA inference.	744B total, 40B active (5.4% active)	1,048,576	MIT License	2026-06-17	Sparse MoE	MLA with DeepSeek Sparse Attention and IndexShare	78 MLA/DSA	87.8 KiB · Moderate	Reuses each full DSA indexer result across the next three layers, making 1M-token sparse attention cheaper.		https://huggingface.co/zai-org/GLM-5.2/blob/main/config.json	https://arxiv.org/pdf/2602.15763	Total score  50.7      General  60.4    Scientific  47.7    Coding  67.0    Agents  43.1				
Laguna XS 2.1 (33B)	Poolside's 33B Laguna refresh extends the sparse MoE architecture to 262k context while keeping about 3B parameters active per token.	33B total, 3B active (9.1% active)	262,144	https://huggingface.co/poolside/Laguna-XS-2.1/blob/main/LICENSE.md	2026-07-02	Sparse MoE	Gated GQA with QK-Norm and 3:1 sliding-window/global attention	30 sliding-window + 10 global GQA	160 KiB · Moderate	Uses 256 routed experts with top-8 routing plus one shared expert, a dense first layer, and per-layer query-head counts.		https://huggingface.co/poolside/Laguna-XS-2.1/blob/main/config.json	https://huggingface.co/poolside/Laguna-XS-2.1			100,352 (~100k)		
Soofi S (30B-A3B)	German-English base model that retrains the Nemotron 3 Nano architecture on 26.68T tokens with a fully documented data mixture.	31.6B total, 3.2B active (10.1% active)	1,048,576	https://huggingface.co/Soofi-Project/Soofi-S-Base#license-terms-of-use	2026-07-10	Hybrid MoE	Mostly Mamba-2 with 6 GQA layers and no positional embeddings (NoPE)	6 GQA + 23 Mamba-2 + 23 MoE	6 KiB · Very low	Reuses the Nemotron 3 Nano architecture without modification, isolating the effect of a German-English data and training recipe.		https://huggingface.co/Soofi-Project/Soofi-S-Base/blob/main/config.json	https://arxiv.org/abs/2607.09424					
Inkling (975B)	Thinking Machines Lab's native multimodal model combines a 66-layer sparse MoE decoder with a 5:1 mix of local and global GQA.	975B total, 41B active (4.2% active)	1,048,576	https://www.apache.org/licenses/LICENSE-2.0	2026-07-15	Sparse MoE	GQA with QK-Norm and learned relative-position bias in a 5:1 sliding-window/global pattern	55 sliding-window + 11 global GQA	484 KiB · Very high	Uses learned relative-position bias instead of RoPE and adds four short convolutions to each decoder layer.		https://huggingface.co/thinkingmachines/Inkling/blob/main/config.json	https://thinkingmachines.ai/news/introducing-inkling/			200,058 (~200k)		
BTL-3 (27B)	Agent-oriented Qwen3.6-27B derivative that adds a rank-32 LoRA adapter for coding, structured tool use, and long multi-turn execution.	27B base + 934 MB LoRA adapter	262,144	https://huggingface.co/badtheorylabs/BTL-3/blob/main/LICENSE	2026-07-20	Dense hybrid	3:1 Gated DeltaNet and Gated Attention	16 gated attention + 48 DeltaNet	64 KiB · Low	Retains Qwen3.6-27B's 64-layer hybrid stack while adapting its attention, DeltaNet, and FFN projections through rank-32 LoRA.						248,320 (~248k)		https://huggingface.co/badtheorylabs/BTL-3/blob/main/adapter_config.json
Antares (1B)	Cisco Foundation AI's compact terminal agent uses a dense Granite 4.0 backbone and is post-trained with SFT and GRPO for vulnerability localization.	1B parameters	131,072	Apache License 2.0	2026-07-21	Dense	GQA with RoPE	40 GQA	80 KiB · Moderate	Retains Granite 4.0's MuP scaling multipliers and tied input/output embeddings, then adds SFT and GRPO for terminal-based vulnerability localization.		https://huggingface.co/fdtn-ai/antares-1b/blob/main/config.json	https://cisco-foundation-ai.github.io/antares/technical-report.pdf			100,352		
Laguna S 2.1 (118B)	Poolside's 118B sparse MoE scales the Laguna XS recipe to 48 layers and 1M context while activating about 8B parameters per token.	118B total, 8B active (6.8% active)	1,048,576	https://huggingface.co/poolside/Laguna-S-2.1/blob/main/LICENSE.md	2026-07-21	Sparse MoE	Gated GQA with QK-Norm and 3:1 sliding-window/global attention	36 sliding-window + 12 global GQA	192 KiB · High	Uses 256 routed experts with top-10 routing plus one shared expert, a dense first layer, and per-layer query-head counts.		https://huggingface.co/poolside/Laguna-S-2.1/blob/main/config.json	https://poolside.ai/blog/introducing-laguna-s-2-1			100,352 (~100k)		
Motif 3 Beta (314B)	Large sparse MoE that combines Grouped Differential Latent Attention, per-expert PolyNorm, and modified mHC in a 53-layer decoder.	314B total, 13B active (4.1% active)	262,144	https://huggingface.co/Motif-Technologies/Motif-3-Beta/blob/main/README.md#license	2026-07-21	Sparse MoE	GDLA with MLA-style latent projections, RoPE, and 3:1 sliding-window/full attention	39 sliding-window + 14 full GDLA	530 KiB · Very high	Routes each token through 8 of 384 experts plus one shared expert, with per-expert PolyNorm and a 3:1 sliding-window/full GDLA pattern.		https://huggingface.co/Motif-Technologies/Motif-3-Beta/blob/main/config.json		Total score  44		220,160 (~220k)		
Nanbeige 4.2 (3B)	Compact agentic model that runs the same 22-layer dense transformer stack twice, resulting in 44 transformer blocks (layers) without duplicating the layer weights.	4B total, 3B non-embedding	262,144	Apache License 2.0	2026-07-21	Dense	GQA with RoPE	22 shared GQA layers × 2 passes	176 KiB · High	Reuses the same 22-layer stack for a second pass, giving 44 block applications with 3B non-embedding parameters.		https://huggingface.co/Nanbeige/Nanbeige4.2-3B/blob/main/config.json	https://huggingface.co/Nanbeige/Nanbeige4.2-3B/blob/main/Nanbeige42_report.pdf			166,144 (~166k)		
Solar Open 2 (250B)	Upstage's sparse hybrid alternates one gated GQA layer with three Kimi Delta Attention layers and reaches a 1M-token context without positional embeddings.	250B total, 15B active (6% active)	1,048,576	https://huggingface.co/upstage/Solar-Open2-250B/blob/main/LICENSE	2026-07-22	Sparse hybrid	3:1 Kimi Delta Attention and gated GQA with NoPE	12 gated GQA + 36 Kimi Delta Attention	48 KiB · Low	Uses a repeating gated-GQA/KDA hybrid stack, kernel-4 ShortConv in KDA, and top-8 routing over 320 experts plus one shared expert.		https://huggingface.co/upstage/Solar-Open2-250B/blob/main/config.json	https://huggingface.co/upstage/Solar-Open2-250B/blob/main/Solar_Open_2_Tech_Report.pdf			196,608 (~197k)		
Kimi K3 (2.8T)	2.8T sparse hybrid that combines a 3:1 KDA and Gated MLA stack with Block Attention Residuals and Stable LatentMoE. It is also native multimodal, but the figure focuses on the text portion.	2.8T total, 104B active (3.7% active)	1,048,576	https://huggingface.co/moonshotai/Kimi-K3/blob/main/LICENSE	2026-07-27	Sparse hybrid	3:1 Kimi Delta Attention and Gated MLA with NoPE	69 KDA + 24 Gated MLA	27 KiB · Low	Uses eight Block Attention Residual groups and Stable LatentMoE with 16 of 896 routed experts active per token.		https://huggingface.co/moonshotai/Kimi-K3/blob/main/config.json	https://github.com/MoonshotAI/Kimi-K3/blob/main/k3_tech_report.pdf	Total score  57.0				
Ling 3.0 Flash (124B)	Hybrid MoE that alternates five Kimi Delta Attention layers with one gated MLA layer.	124B total, 5.1B active (4.1% active)	262,144	MIT License	2026-08-04	Sparse hybrid	5:1 Kimi Delta Attention and gated MLA	35 Kimi Delta Attention + 7 gated MLA + 1 MTP layer	7.9 KiB · Very low	Uses fine-grained diagonal KDA gating, top-8 routing over 512 experts plus one shared expert, and one MTP layer.		https://huggingface.co/inclusionAI/Ling-3.0-flash/blob/main/config.json	https://huggingface.co/inclusionAI/Ling-3.0-flash	Total score  38.0		157,184 (~157k)		
Muse Glimmer (30B)	Meta's dense 29.6B multimodal model combines a 52-layer sandwich-norm decoder with gated GQA and a separate perception encoder; the figure focuses on the text backbone.	29.6B parameters (including perception encoder)	131,072+	https://huggingface.co/meta-models/Muse-Glimmer-30B/blob/main/LICENSE	2026-08-10	Dense	Gated GQA with scaleless QK-Norm, local-only RoPE, global NoPE, and 3:1 sliding-window/global attention	39 sliding-window + 13 global gated GQA	52 KiB · Low	Applies RoPE only in 2,048-token local layers, uses NoPE in global layers, and gates the attention output before projection.		https://huggingface.co/meta-models/Muse-Glimmer-30B/blob/main/config.json	https://research.meta.ai/static/muse-glimmer-methodology			202,048 (~202k)		
Nemotron 3.5 Lightning (30B-A3B)	NVIDIA's 30B hybrid model keeps 3B parameters active and extends the Nemotron 3 Nano backbone with a 1M-token context window and multi-token prediction.	30B total, 3B active (10% active)	1,048,576	https://openmdw.ai/license/1-1/	2026-08-11	Hybrid MoE	Mostly Mamba-2 with six GQA layers	6 GQA + 23 Mamba-2 + 23 MoE; GQA + MoE MTP predictor	6 KiB · Very low	Adds a one-step GQA-plus-MoE MTP predictor to the 52-layer Nemotron 3 Nano backbone.		https://huggingface.co/nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4/blob/main/config.json				131,072		
Qwen3.8 (27B)	Dense 27B native vision-language model with a 64-layer Gated DeltaNet and Gated Attention language backbone; the figure omits the vision encoder and MTP head.	27B parameters	262,144	https://huggingface.co/Qwen/Qwen3.8-27B/blob/main/LICENSE	2026-08-14	Dense hybrid	3:1 Gated DeltaNet and Gated Attention	16 gated attention + 48 DeltaNet	64 KiB · Low	Uses a 64-layer 3:1 Gated DeltaNet/Gated Attention decoder with partial RoPE and one MTP layer.		https://huggingface.co/Qwen/Qwen3.8-27B/blob/main/config.json				248,320 (~248k)		
Ornith 1.5 (35B-A3B)	Uses the same sparse-hybrid decoder geometry as Qwen3.6 35B-A3B, paired with Ornith's self-improvement training recipe.	35B total, 3B active (8.6% active)	262,144	MIT License	2026-08-23	Sparse hybrid	3:1 Gated DeltaNet and Gated Attention	10 gated attention + 30 DeltaNet	20 KiB · Very low	Matches Qwen3.6 35B-A3B's 40-layer decoder geometry, with 256 routed experts, top-8 routing, and one shared expert.		https://huggingface.co/ornith-ai/Ornith-1.5-35B-A3B/blob/main/config.json	https://ornith.ai/ornith_1_5.html			248,320 (~248k)		
GLM-5.3-Flash (320B)	Natively multimodal GLM refresh, previously previewed as Ox Alpha, that replaces most MLA/DSA layers with Kimi Delta Attention and adds four-stream mHC.	320B total, 18B active (5.6% active)	1,048,576	https://huggingface.co/zai-org/GLM-5.3-Flash/blob/main/LICENSE	2026-08-26	Sparse hybrid	3:1 Kimi Delta Attention and MLA with DeepSeek Sparse Attention	34 KDA + 11 MLA/DSA + 1 MTP layer	11 KiB · Very low	Mixes 34 Kimi Delta Attention layers with 11 MLA/DSA layers and routes residuals through four mHC streams.		https://huggingface.co/zai-org/GLM-5.3-Flash/blob/main/config.json	https://arxiv.org/pdf/2602.15763			154,880 (~155k)		
Qwen3.8-Flash-Next (125B-A6B)	Experimental vision-language MoE whose text backbone combines Gated DeltaNet, micro-block QSA, four-branch gated residuals, and n-gram embeddings; the figure omits the vision encoder and MTP head.	125B core, 6B active (4.8% active); plus 51B n-gram embeddings and 4B MTP	262,144	https://huggingface.co/Qwen/Qwen3.8-Flash-Next/blob/main/LICENSE	2026-08-26	Sparse hybrid	3:1 Gated DeltaNet and Qwen Sparse Attention (QSA)	12 QSA + 36 DeltaNet	24 KiB · Very low	Replaces full attention with micro-block QSA while using four gated residual branches and a 20M-entry n-gram embedding at layer 2.		https://huggingface.co/Qwen/Qwen3.8-Flash-Next/blob/main/config.json	https://github.com/QwenLM/Qwen3.8-Flash-Next/blob/main/tech_report.pdf	Total score  56.0		248,320 (~248k)		
Tencent Hy4-preview (770B-A49B)	Tencent's 770B sparse MoE combines gated DeepSeek Sparse Attention, cross-layer index reuse, and four-stream identity Hyper-Connections.	770B backbone, 49B active (6.4% active); plus 10B MTP	1,048,576	https://huggingface.co/tencent/Hy4-preview/blob/main/LICENSE	2026-08-28	Sparse MoE	Gated MLA with DeepSeek Sparse Attention and IndexCache	78 gated MLA/DSA + 1 MTP layer	87.8 KiB · Moderate	Uses 256 routed experts with 8 routed plus 1 shared expert active per token, a top-2,048 DSA indexer, cross-layer index reuse, and four iHC residual streams.		https://huggingface.co/tencent/Hy4-preview/blob/main/config.json				120,832 (~121k)		
